x-axis,1,2,3
second,Volt,Volt,Volt
-48.000E-03,+943.750E-03,+843.750E-03,+912.000E-03
-47.900E-03,+1.037500E+00,+906.250E-03,+1.005750E+00
-47.800E-03,+1.100000E+00,+1.000000E+00,+1.037000E+00
-47.700E-03,+1.193750E+00,+1.062500E+00,+1.193250E+00
-47.600E-03,+1.287500E+00,+1.125000E+00,+1.193250E+00
-47.500E-03,+1.318750E+00,+1.250000E+00,+1.318250E+00
-47.400E-03,+1.443750E+00,+1.281250E+00,+1.443250E+00
-47.300E-03,+1.568750E+00,+1.406250E+00,+1.505750E+00
-47.200E-03,+1.662500E+00,+1.500000E+00,+1.599500E+00
-47.100E-03,+1.693750E+00,+1.593750E+00,+1.693250E+00
-47.000E-03,+1.787500E+00,+1.687500E+00,+1.755750E+00
-46.900E-03,+1.912500E+00,+1.812500E+00,+1.880750E+00
-46.800E-03,+1.912500E+00,+1.875000E+00,+1.943250E+00
-46.700E-03,+2.068750E+00,+1.937500E+00,+2.037000E+00
-46.600E-03,+2.068750E+00,+2.031250E+00,+2.130750E+00
-46.500E-03,+2.162500E+00,+2.125000E+00,+2.130750E+00
-46.400E-03,+2.225000E+00,+2.187500E+00,+2.224500E+00
-46.300E-03,+2.287500E+00,+2.250000E+00,+2.318250E+00
-46.200E-03,+2.287500E+00,+2.312500E+00,+2.349500E+00
-46.100E-03,+2.318750E+00,+2.343750E+00,+2.349500E+00
-46.000E-03,+2.350000E+00,+2.343750E+00,+2.412000E+00
-45.900E-03,+2.318750E+00,+2.375000E+00,+2.443250E+00
-45.800E-03,+2.287500E+00,+2.406250E+00,+2.412000E+00
-45.700E-03,+2.287500E+00,+2.375000E+00,+2.412000E+00
-45.600E-03,+2.256250E+00,+2.375000E+00,+2.349500E+00
-45.500E-03,+2.225000E+00,+2.312500E+00,+2.318250E+00
-45.400E-03,+2.162500E+00,+2.312500E+00,+2.255750E+00
-45.300E-03,+2.100000E+00,+2.218750E+00,+2.255750E+00
-45.200E-03,+1.975000E+00,+2.187500E+00,+2.162000E+00
-45.100E-03,+1.912500E+00,+2.093750E+00,+2.068250E+00
-45.000E-03,+1.787500E+00,+2.000000E+00,+1.943250E+00
-44.900E-03,+1.662500E+00,+1.906250E+00,+1.849500E+00
-44.800E-03,+1.537500E+00,+1.781250E+00,+1.755750E+00
-44.700E-03,+1.506250E+00,+1.656250E+00,+1.662000E+00
-44.600E-03,+1.287500E+00,+1.531250E+00,+1.474500E+00
-44.500E-03,+1.225000E+00,+1.437500E+00,+1.349500E+00
-44.400E-03,+1.100000E+00,+1.312500E+00,+1.224500E+00
-44.300E-03,+1.006250E+00,+1.187500E+00,+1.130750E+00
-44.200E-03,+912.500E-03,+1.062500E+00,+1.037000E+00
-44.100E-03,+787.500E-03,+937.500E-03,+880.750E-03
-44.000E-03,+756.250E-03,+875.000E-03,+787.000E-03
-43.900E-03,+631.250E-03,+750.000E-03,+755.750E-03
-43.800E-03,+537.500E-03,+656.250E-03,+599.500E-03
-43.700E-03,+506.250E-03,+593.750E-03,+568.250E-03
-43.600E-03,+506.250E-03,+531.250E-03,+537.000E-03
-43.500E-03,+506.250E-03,+500.000E-03,+505.750E-03
-43.400E-03,+475.000E-03,+468.750E-03,+474.500E-03
-43.300E-03,+506.250E-03,+468.750E-03,+505.750E-03
-43.200E-03,+537.500E-03,+437.500E-03,+505.750E-03
-43.100E-03,+600.000E-03,+500.000E-03,+568.250E-03
-43.000E-03,+725.000E-03,+562.500E-03,+599.500E-03
-42.900E-03,+787.500E-03,+625.000E-03,+724.500E-03
-42.800E-03,+881.250E-03,+687.500E-03,+818.250E-03
-42.700E-03,+1.006250E+00,+843.750E-03,+943.250E-03
-42.600E-03,+1.131250E+00,+906.250E-03,+1.037000E+00
-42.500E-03,+1.225000E+00,+1.062500E+00,+1.193250E+00
-42.400E-03,+1.412500E+00,+1.156250E+00,+1.318250E+00
-42.300E-03,+1.537500E+00,+1.312500E+00,+1.443250E+00
-42.200E-03,+1.693750E+00,+1.500000E+00,+1.599500E+00
-42.100E-03,+1.818750E+00,+1.625000E+00,+1.755750E+00
-42.000E-03,+1.943750E+00,+1.781250E+00,+1.912000E+00
-41.900E-03,+2.037500E+00,+1.906250E+00,+2.005750E+00
-41.800E-03,+2.131250E+00,+2.031250E+00,+2.130750E+00
-41.700E-03,+2.225000E+00,+2.156250E+00,+2.224500E+00
-41.600E-03,+2.318750E+00,+2.250000E+00,+2.349500E+00
-41.500E-03,+2.318750E+00,+2.312500E+00,+2.380750E+00
-41.400E-03,+2.350000E+00,+2.375000E+00,+2.443250E+00
-41.300E-03,+2.318750E+00,+2.406250E+00,+2.474500E+00
-41.200E-03,+2.318750E+00,+2.437500E+00,+2.443250E+00
-41.100E-03,+2.287500E+00,+2.406250E+00,+2.412000E+00
-41.000E-03,+2.162500E+00,+2.375000E+00,+2.349500E+00
-40.900E-03,+2.100000E+00,+2.312500E+00,+2.287000E+00
-40.800E-03,+1.912500E+00,+2.187500E+00,+2.193250E+00
-40.700E-03,+1.818750E+00,+2.093750E+00,+2.037000E+00
-40.600E-03,+1.662500E+00,+1.968750E+00,+1.880750E+00
-40.500E-03,+1.506250E+00,+1.843750E+00,+1.755750E+00
-40.400E-03,+1.350000E+00,+1.656250E+00,+1.599500E+00
-40.300E-03,+1.193750E+00,+1.531250E+00,+1.443250E+00
-40.200E-03,+1.068750E+00,+1.312500E+00,+1.255750E+00
-40.100E-03,+975.000E-03,+1.156250E+00,+1.037000E+00
-40.000E-03,+787.500E-03,+1.031250E+00,+943.250E-03
-39.900E-03,+693.750E-03,+843.750E-03,+755.750E-03
-39.800E-03,+568.750E-03,+718.750E-03,+630.750E-03
-39.700E-03,+506.250E-03,+593.750E-03,+568.250E-03
-39.600E-03,+506.250E-03,+500.000E-03,+505.750E-03
-39.500E-03,+475.000E-03,+468.750E-03,+474.500E-03
-39.400E-03,+475.000E-03,+406.250E-03,+443.250E-03
-39.300E-03,+537.500E-03,+437.500E-03,+474.500E-03
-39.200E-03,+600.000E-03,+468.750E-03,+505.750E-03
-39.100E-03,+756.250E-03,+531.250E-03,+537.000E-03
-39.000E-03,+881.250E-03,+656.250E-03,+693.250E-03
-38.900E-03,+1.037500E+00,+750.000E-03,+849.500E-03
-38.800E-03,+1.162500E+00,+906.250E-03,+1.005750E+00
